product_name,product_url,product_price
ACER ASPIRE 5 A515-56 15.6 INCH FHD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/acer-aspire-5-a515-56-i5-11th-laptop,"68,000৳"
LENOVO IDEAPAD GAMING 3 15ACH6 15.6 INCH FULL HD 120HZ DISPLAY RYZEN 7 5800H 16GB RAM 1TB HDD 256GB SSD GAMING LAPTOP WITH GTX 1650 4GB GRAPHICS,https://www.techlandbd.com/lenovo-ideapad-gaming-3-15ach6-ryzen-7-gaming-laptop,"109,500৳"
HP PAVILION 15-EG2786TU 15.6-INCH FULL HD DISPLAY CORE I5 12TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-pavilion-15-eg2786tu-laptop,"83,000৳"
ASUS PROART STUDIO BOOK H5600QM 16 INCH 4K OLED DISPLAY RYZEN 9 5900HX 16GB RAM 1TB SSD GAMING LAPTOP WITH 3060 6GB GRAPHICS,https://www.techlandbd.com/asus-pro-art-studio-book-h5600qm-gaming-laptop,"302,000৳"
ASUS TUF F15 FX506HE 15.6 INCH 144HZ FULL HD DISPLAY I7 11TH GEN 8GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS,https://www.techlandbd.com/asus-tuf-f15-fx506he-i7-laptop,"162,000৳"
ASUS EXPERTBOOK B1 B1500CEAE 15.6 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-expertbook-b1-b1500ceae-core-i5-laptop,"85,500৳"
MSI SUMMIT E14 FLIP A12MT 14F1 14 INCH QHD+ TOUCH DISPLAY CORE I7 12TH GEN 16GB RAM 1TB SSD 2 IN 1 LAPTOP,https://www.techlandbd.com/msi-summit-e14-flip-a12mt-14f1-2-in-1-laptop,"139,890৳"
MSI PRESTIGE PS42 8M 14-INCH FHD IPS CORE I7 8TH GEN 8GB RAM 512GB NVME SSD ALUMINUM CHASSIS LAPTOP,https://www.techlandbd.com/msi-ps42-8m-laptop,"75,000৳"
MSI MODERN 15 A5M 15.6 INCH FHD IPS DISPLAY RYZEN 5 5500U 8GB RAM 512GB SSD ALUMINUM CHASSIS LAPTOP,https://www.techlandbd.com/msi-modern-15-a5m-ryzen-5-laptop,"71,500৳"
LENOVO IDEAPAD GAMING 3 15ACH6 15.6 INCH FULL HD 120HZ DISPLAY RYZEN 5 5600H 8GB RAM 1TB HDD 256GB SSD GAMING LAPTOP WITH GTX 1650 4GB GRAPHICS,https://www.techlandbd.com/lenovo-ideapad-gaming-3-15ach6-laptop,"95,500৳"
GIGABYTE GAMING G5 KE 15.6 FULL HD 144HZ DISPLAY CORE I5 12TH GEN 16GB RAM 512GB SSD LAPTOP WITH RTX 3060 6GB GRAPHICS,https://www.techlandbd.com/gigabyte-gaming-g5-ke-laptop,"165,000৳"
GIGABYTE G5 GD 15.6 INCH FHD 144HZ DISPLAY I5 11TH GEN 16GB RAM 512GB SSD GAMING LAPTOP WITH 4GB RTX 3050 GRAPHICS,https://www.techlandbd.com/gigabyte-g5-gd-core-i5-gaming-laptop,"113,000৳"
GIGABYTE AORUS 5 SE4 15.6 FULL HD 144HZ DISPLAY CORE I7 12TH GEN 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3070 8GB GRAPHICS,https://www.techlandbd.com/gigabyte-aorus-5-se4-gaming-laptop,"239,000৳"
GIGABYTE AORUS 15P XD 15.6 INCH FULL HD 240HZ DISPLAY CORE I7 11TH GEN 16GB RAM 1TB SSD GAMING LAPTOP WITH RTX 3070 8GB GRAPHICS,https://www.techlandbd.com/gigabyte-aorus-15p-xd-core-i7-gaming-laptop,"231,000৳"
GIGABYTE AORUS 15 XE4 15.6 INCH FULL HD DISPLAY INTEL I7 12TH GEN 16GB RAM 1TB SSD LAPTOP WITH 8GB GRAPHICS,https://www.techlandbd.com/gigabyte-aorus-15-xe4-laptop,"245,000৳"
GIGABYTE AERO 5 KE4 15.6 4K OLED DISPLAY CORE I7 12TH GEN 16GB RAM 1TB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,https://www.techlandbd.com/gigabyte-aero-5-ke4-gaming-laptop,"228,000৳"
ASUS ZENBOOK 14 UX425JA 14 INCH FULL HD LED BACKLIT DISPLAY CORE I7 10TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-zenbook-14-ux425ja-i7-8gb,"95,990৳"
ASUS ZENBOOK 14 UM425UA 14 INCH FULL HD DISPLAY RYZEN 7 5700U 16GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-zenbook-14-um425ua-laptop,"111,000৳"
ASUS X515MA 15.6-INCH FULL HD DISPLAY CELERON N4020 4GB RAM 1TB HDD LAPTOP (TRANSPARENT SILVER),https://www.techlandbd.com/asus-x515ma--laptop,"42,500৳"
ASUS VIVOBOOK PRO 15 M3500QC-DB71 15.6 INCH FULL HD OLED DISPLAY RYZEN 7 5800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 4GB GRAPHICS,https://www.techlandbd.com/asus-vivobook-pro-15-m3500qc-db71-gaming-laptop,"149,500৳"
ASUS VIVOBOOK 15 X1500EA 15.6 FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-vivobook-15-x1500ea-core-i3-512gb-laptop,"63,000৳"
ASUS VIVOBOOK 15 K513EA OLED 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD LAPTOP (HEARTY GOLD),https://www.techlandbd.com/asus-vivobook-15-k513ea-oled-core-i3-laptop,"70,500৳"
ASUS VIVOBOOK 14 X415FA 14 INCH FULL HD DISPLAY CORE I3 10TH GEN 4GB RAM 256GB SSD LAPTOP,https://www.techlandbd.com/asus-vivobook-14-x415fa-laptop,"52,500৳"
ASUS VIVOBOOK 14 X415FA 14 INCH FULL HD DISPLAY CORE I3 10TH GEN 4GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/asus-vivobook-14-x415fa-core-i3-laptop,"49,500৳"
ASUS VIVOBOOK 14 X1400EA 14 FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-vivobook-14-x1400ea-laptop,"61,000৳"
ASUS TUF DASH F15 FX516PE 15.6 INCH FULL HD 144HZ DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD GAMING LAPTOP WITH 3050TI 4GB GRAPHICS (ECLIPSE GREY),https://www.techlandbd.com/asus-tuf-dash-f15-fx516pe-i5-grey-laptop,"133,500৳"
ASUS ROG ZEPHYRUS G15 GA503RM 15.6 INCH WQHD 240HZ DISPLAY RYZEN 7 6800HS 16GB DDR5 RAM 1TB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,https://www.techlandbd.com/asus-rog-zephyrus-g15-ga503rm-gaming-laptop,"265,000৳"
ASUS ROG ZEPHYRUS G14 GA402RJ 14 INCH WQXGA 120HZ DISPLAY RYZEN 9 6900HS 16GB DDR5 RAM 1TB SSD GAMING LAPTOP WITH RX 6700S 8GB GRAPHICS,https://www.techlandbd.com/asus-rog-zephyrus-g14-ga402rj-gaming-laptop,"260,000৳"
ASUS ROG STRIX G15 G513RM 15.6 INCH FULL HD 300HZ DISPLAY RYZEN 7 6800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,https://www.techlandbd.com/asus-rog-strix-g15-g513rm-gaming-laptop,"218,000৳"
